val_phc,out_val_phc,step,val_loss,epoch,train_loss
0.0011666666250675917,0.0013333333190530539,843,14387.142578125,0,
,,843,,0,66233.4765625
0.002166666556149721,0.002166666556149721,1687,9564.1669921875,1,
,,1687,,1,14414.7978515625
0.0026666666381061077,0.003666666569188237,2531,8693.767578125,2,
,,2531,,2,11895.4404296875
0.005166666582226753,0.006666666828095913,3375,6807.08544921875,3,
,,3375,,3,9756.205078125
0.0403333343565464,0.0416666679084301,4219,5998.8701171875,4,
,,4219,,4,8246.615234375
0.02250000089406967,0.02383333258330822,5063,4839.20068359375,5,
,,5063,,5,7441.42041015625
0.027499999850988388,0.028999999165534973,5907,4532.46826171875,6,
,,5907,,6,6696.04248046875
0.03799999877810478,0.03683333471417427,6751,4967.990234375,7,
,,6751,,7,6608.03369140625
0.003000000026077032,0.0031666667200624943,7595,6768.0439453125,8,
,,7595,,8,6456.431640625
0.016833333298563957,0.019833333790302277,8439,4917.31787109375,9,
,,8439,,9,6161.9970703125
0.1041666641831398,0.10733333230018616,9283,3873.224609375,10,
,,9283,,10,5519.18701171875
0.03933333232998848,0.040833331644535065,10127,5131.06884765625,11,
,,10127,,11,5514.1240234375
