val_phc,val_loss,step,epoch,train_loss,train_phc
0.00016666666488163173,110.6777572631836,843,0,,
,,843,0,138.65847778320312,0.00016666666488163173
0.0024999999441206455,104.12480926513672,1687,1,,
,,1687,1,112.26113891601562,0.0013518518535420299
0.024833332747220993,101.16629028320312,2531,2,,
,,2531,2,107.94437408447266,0.0018333332845941186
